czo_id,hs_id,success
2423,608c8be349dc48a2b8a3a37544e5302c,False
2431,b58220fb83624c0e92dfeb69c948dfa4,True
2860,7ef130b813ed42b695161fec7edc7891,True
2426,79b1b68bfcd445ea9fd55cba93554505,True
4035,16f87b3b406943adb62eb55875465777,True
2918,c9e75d313dcd4d95b2da71e0601ef36b,True
2788,1b91147e1bc34b6a86aa959fafb8d9ba,True
3894,a45aca34260d452cb545e2593326ee68,True
2784,d41755b80ed34182a6c576c6e08399c0,True
2430,40983afeb0234e71b7b9022a750add0e,True
2429,00fe824e49004fa19e790f4728a21583,True
2447,6c60c8acdb9a4cf4bbc631b26e532092,True
4036,4fc038a483e846b2bb3da72750e79e02,True
2919,5df63f73fe694e2d851751cb50fc7747,True
2428,1399ecc662bd400d9a3a4a4e8ba34dd5,True
2451,5d4970bff63c4c8db2f5e9d1abcc35e6,True
2461,d452cbf568554a759493b4b7150caec0,True
2452,ddda9699a99f489c938c376070d1c41f,True
2865,441248e5d0f74ca8a336eac9d987399a,True
2826,af77eb0f99994f05b4fb6ea158ef164d,True
2467,ff246d6bdca94e1d9ac71e72a1bdb07a,True
3642,3228233c8d0d49e7ad207ed9da831731,True
2491,71df5e5b17a44af9a841c1afd208b544,True
2494,577fe1e36cb8426f9fc50e7ea3d4677e,True
3790,0fb7031c7e2c450abac473e43292b85a,False
2498,fdde00c243bd4dde9567bfa2af573cb9,True
2475,1f8fc602403948fda0251d49146d67a2,True
2517,5525992ccd7547fda591a45feb54ac24,True
2518,d50731d8c1b14c0385ce8842ec41b368,True
2500,619e88a2bb704455a6225a3fda3af8a9,True
3412,dfb3d48d37e24e53a58e4d9024cc7eba,True
5512,245765ab2f4042b89cb9a677804788be,True
3739,5b306e476ce44a91a528c26d7c78f9a5,True
5470,d1e9c36d08fd4b969ebb11c9f4ccd4a6,True
2425,4ba34d4d5ce64ecc913bc468ca77caa1,True
2415,b81bb81c07a64f70a1b4cc1dad2eaefb,True
5107,9acf856f0d4f41be925bca26baf49343,True
3972,cdc24c56a1a140ccbdab346a91855a5a,True
2560,e50194dfbb8c47d7ab619ad6712e9be4,True
2615,1c7e63e9592540d78aea5caa439d2573,True
4182,9019ab1aaa6f4d57aa0deddf89f6e32c,True
2613,6d0e0ff18785413793cbc5555bebe9e0,True
2612,aeb4e3dce4fe44b8a93a317831a933de,True
4135,e76ecb89aee5430e84028737bf553baf,True
2504,1363b87417b5476db59d5c59208d23bb,False
4109,2b77b7f178234fce88b12189e02a3c06,True
5492,26f4fbbe2af14c439b3854a839a53fe0,True
5494,828cd870269845a9ab20a8ed0f9b436e,True
5493,df235dac118c47778e6685b926920216,True
5203,c6b2d8e169f6405bbb893288c874d2cf,True
5714,46fe0a94ce744844ab81af94a16ae06d,True
6488,edb0d1159aea4c828fc97c216f0cbae9,True
2664,6d310790f9ee4b529bf368ce381a6b1a,False
2634,6a6e5387033c41b5a2ee6cb72a857eae,False
2551,d403288478f9448dbfd6e4d4eeb7ef81,False
3422,17877b24e413446fa84cb8288837a047,True
3029,71a8cb33174e440397e37e436fc4e7a5,True
4730,23095cae7d124b129a64b73ad6d14903,True
6118,642b8f92571748859c764ffae56113a9,True
