czo_id,hs_id,success
5274,-1,False
5277,-1,False
5278,-1,False
5280,-1,False
5281,-1,False
5285,-1,False
5292,-1,False
5300,-1,False
5324,-1,False
5326,-1,False
5329,-1,False
5446,-1,False
5460,-1,False
5484,-1,False
5485,-1,False
5486,-1,False
5488,-1,False
5496,-1,False
5497,-1,False
5498,-1,False
5512,-1,False
5531,-1,False
5533,-1,False
5564,-1,False
5668,-1,False
5714,-1,False
5751,-1,False
5817,-1,False
5821,-1,False
5933,-1,False
5982,-1,False
5986,-1,False
6026,-1,False
6118,-1,False
6292,-1,False
6421,-1,False
6470,-1,False
6475,-1,False
6486,-1,False
6487,-1,False
6488,-1,False
6521,-1,False
6522,-1,False
6523,-1,False
6524,-1,False
6526,-1,False
6541,-1,False
6565,-1,False
6568,-1,False
